,Age,gender,number,ID1,ID2,satisfaction,partnerliking,mutuality,relationship length,commitment,honesty,love of learning,partnerIT,partnerOC,selfIT,extroversion,agreeableness,conscientiousness,stability,openness,ID3,ID4,satisfaction2,partnerliking2,mutuality2,length2,commitment2,honesty2,love of learning2,partnerIT2,selfIT2,extroversion2,agreeableness2,conscientiousness2,stability2,openness2,age2,gender2,extroversiondiff,agreeablenessdiff,conscientiousnessdiff,stabilitydiff,opennessdiff,satisfactiondiff
1,45-54,Female,2,5654a29404212700104a1d0e,563f734bcbd4c60005dc9442,5,6.8,6.4,6,5.8,6.8,7,6,6,6.666666667,4,5.5,6.5,5,7,563f734bcbd4c60005dc9442,5654a29404212700104a1d0e,5.25,6,6.2,6,6.8,5.7,5,6,4.833333333,3.5,6,6,6,5.5,45-54,Male,0.5,-0.5,0.5,-1,1.5,-0.25
2,35-44,Female,3,6146f00304ffc2626b914d5e,614e2e2fe2bbd260c0d2c516,5.5,5.8,6.2,6,7,6.8,6.333333333,5,5,6.5,4.5,6.5,6.5,5.5,4.5,614e2e2fe2bbd260c0d2c516,6146f00304ffc2626b914d5e,4.25,6.4,6.4,6,7,5,7,5,6.833333333,3.5,5,6,4.5,6.5,45-54,Male,1,1.5,0.5,1,-2,1.25
3,55-64,Female,5,5ee64d0bf796cb3b252a8c99,5ea00a8a39c0f00008064b2b,5.25,6.8,6.8,6,7,6.1,6.333333333,6,5,6.333333333,6,6.5,7,6,6,5ea00a8a39c0f00008064b2b,5ee64d0bf796cb3b252a8c99,4.5,6.8,6.6,6,6,5.8,6.333333333,7,5.833333333,5,6,7,6,6,55-64,Male,1,0.5,0,0,0,0.75
4,55-64,Male,7,5ea00a8a39c0f00008064b2b,5ee64d0bf796cb3b252a8c99,4.5,6.8,6.6,6,6,5.8,6.333333333,7,7,5.833333333,5,6,7,6,6,5ee64d0bf796cb3b252a8c99,5ea00a8a39c0f00008064b2b,5.25,6.8,6.8,6,7,6.1,6.333333333,6,6.333333333,6,6.5,7,6,6,55-64,Female,-1,-0.5,0,0,0,-0.75
5,45-54,Male,9,5a972432873cda0001dc9321,5a6759ad35f26b0001496694,5,6.8,6.8,6,7,6.2,6,3,3,6.666666667,6,5.5,5.5,6,2.5,5a6759ad35f26b0001496694,5a972432873cda0001dc9321,4.75,6.8,6.8,6,7,6.4,5.333333333,6,4.666666667,1.5,5,4.5,5,1.5,25-34,Female,4.5,0.5,1,1,1,0.25
6,45-54,Male,15,5dc7f4daa6eae358b81c34d9,5d89b537f7d109001a8f9c68,3,6.6,4.8,6,7,6.8,7,6,6,5.833333333,3.5,5.5,5.5,6,5,5d89b537f7d109001a8f9c68,5dc7f4daa6eae358b81c34d9,1.75,3,1,6,3.8,6.1,7,6,6.5,6.5,3.5,6,2,4,45-54,Female,-3,2,-0.5,4,1,1.25
7,18-24,Female,17,60d8d3832eca72602139cfdd,60e586d3487509a26a700e3f,5.25,7,6.6,4,5.8,6.7,6.333333333,6,7,5.5,3.5,5,5,2,4.5,60e586d3487509a26a700e3f,60d8d3832eca72602139cfdd,5.25,6.4,6.2,5,7,5.6,5.666666667,6,4.833333333,4.5,6,5.5,5,6,25-34,Male,-1,-1,-0.5,-3,-1.5,0
8,35-44,Female,18,5bffc3ae4108380001f5cd63,5c00fefa4c14cf00019cc374,5.5,7,7,6,7,4.4,6,5,6,5.5,1,5,7,3.5,7,5c00fefa4c14cf00019cc374,5bffc3ae4108380001f5cd63,5,6.8,6.8,6,7,5.8,6.666666667,6,6,3,5,6.5,4,7,35-44,Male,-2,0,0.5,-0.5,0,0.5
9,25-34,Female,20,5e36965ded5a2b62bf438768,5efe25a46e799912a9e250c3,4.5,6.4,6.2,6,7,5.9,7,6,7,5.833333333,3,4,6.5,3,6,5efe25a46e799912a9e250c3,5e36965ded5a2b62bf438768,4.75,6.8,6.2,6,7,6,6.333333333,6,6,5.5,5.5,5,6,7,25-34,Male,-2.5,-1.5,1.5,-3,-1,-0.25
10,35-44,Male,22,5f0cb319d29147695796a208,5edcb44d9b29b400086aa550,3.75,6.4,6.2,6,7,6.2,6.333333333,6,6,6,4,6.5,6.5,4,4.5,5edcb44d9b29b400086aa550,5edcb44d9b29b400086aa550,4.5,6.2,6,6,6.6,6,6.666666667,6,6,2.5,5.5,5.5,5,3.5,35-44,Male,1.5,1,1,-1,1,-0.75
